Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
black bean soup,234,12.4,3.4,39.6,167.3
split pea soup with ham bacon,189,11.6,3.1,28.6,49.5
cream of mushroom soup,199,3.4,13.4,17.1,66.404
green pea soup,320,16.7,5.7,51.7,145.005
chicken broth soup,78,11.1,2.6,1.9,31.7
chicken mushroom chowder soup,431,16.2,23.7,38.3,99.1
chicken dumplings soup,235,13.6,13.4,14.7,80.269
chicken vegetable soup,148,7.1,5.6,17.0,68.983
turkey vegetable soup,72,3.1,3.0,8.6,33.0
wonton soup,71,4.6,0.6,11.7,30.692
beef stock,31,4.7,0.2,2.9,27.6
mushroom barley soup,186,4.6,5.5,29.3,71.1
gazpacho soup,70,10.7,0.4,6.6,67.5
beef mushroom soup,186,14.0,7.3,15.9,52.1
chicken rice soup,127,12.3,3.2,13.0,68.818
pepperpot soup,100,6.2,4.5,9.1,49.1
vegetable soup,149,4.3,4.0,24.6,82.2
chili beef soup,308,13.4,6.7,49.6,77.607
chicken soup,174,12.4,6.5,16.9,64.716
bean with frankfurters soup,188,10.0,7.0,22.0,129.9
pea soup,161,8.3,2.8,25.6,76.26
turkey soup,135,10.2,4.4,14.1,86.6
stockpot soup,201,9.8,7.8,23.1,90.5
hot sour soup,91,6.0,2.8,10.1,65.954
cheese soup,203,2.0,9.7,28.0,135.1
cream of potato soup,186,3.8,4.7,32.2,88.202
bean with bacon soup,106,5.5,2.1,16.4,91.1
fish stock,40,5.3,1.9,0.0,14.488
split pea soup with ham,381,20.7,8.9,56.2,141.2
beef broth soup,17,2.7,0.5,0.01,18.049
lentil soup with ham,139,9.3,2.8,20.2,81.4
tomato soup,98,2.2,0.7,22.5,66.2
fish broth,39,4.9,1.5,1.0,81.193
chili without beans canned,283,18.1,17.0,14.6,130.8
minestrone soup,167,8.6,5.0,22.6,111.1
clam chowder soup,154,4.4,4.4,24.5,95.69
tomato vegetable soup,54,1.9,0.8,9.9,36.4
cream of rice coup,127,2.2,0.2,28.1,38.5
cream of celery soup,181,3.3,11.2,17.7,116.189
chicken gravy,188,4.6,13.6,12.9,80.872
tomato rice soup,240,4.2,5.5,44.1,134.933
vegetable beef soup,128,18.1,2.0,9.6,34.1
tomato beef noodle soup,281,8.9,8.6,42.3,100.1
oyster stew soup,118,4.2,7.7,8.2,72.8
ramen noodle soup dry,371,8.9,13.3,53.9,106.5
chicken noodle soup,145,7.2,4.7,18.4,33.513
chicken bouillon dry,11,0.7,0.6,0.7,9.502
cream of asparagus soup,174,4.6,8.2,21.5,100.43
turkey noodle soup,139,7.8,4.0,17.3,55.582
cream of shrimp soup,181,5.6,10.4,16.5,69.41
bean with pork soup,335,15.3,11.5,44.1,249.324
chicken broth,12,1.0,0.5,1.0,33.6
beef broth powder,8,0.6,0.3,0.6,3.739
split pea soup,180,9.7,2.3,29.9,91.6
escarole soup,61,3.4,4.0,4.0,95.0
chicken stock,86,6.0,2.9,8.5,25.696
tomato bisque soup,248,4.5,5.0,47.7,152.913
shark fin soup,99,6.9,4.3,8.2,43.2
onion soup,113,7.5,3.5,16.4,87.173
chicken gumbo soup,113,5.3,2.9,16.8,88.8
crab soup,95,10.4,0.8,12.5,120.3
tripe soup,148,17.2,5.2,8.1,75.9
little india little lunch,164,0.0,10.6,2.0,12.6
original chicken sandwich chick fil a,125,0.0,5.1,0.0,5.1
sausage mcmuffin mcdonalds,383,14.6,24.2,28.2,328.5
sausage mcgriddles mcdonalds,421,11.4,24.0,42.2,166.0
crispy chicken drumstick kentucky fried chicken,70,10.6,3.0,0.0,20.632
chicken crispy drumsticks kentucky fried chicken,156,11.8,10.1,4.5,41.248
biscuit kentucky fried chicken,185,3.8,9.1,22.1,68.5
english muffin mcdonalds,97,5.7,2.3,2.9,24.548
french fries mcdonalds,378,4.0,18.1,49.8,77.129
hotdog,383,16.4,23.0,28.5,109.0
french fries burger king,207,2.4,9.2,28.6,42.635
original taco with beef cheese lettuce taco bell,158,6.1,8.8,13.7,93.8
hotdog with chili,296,13.5,13.4,31.3,83.6
chicken crispy wings kentucky fried chicken,148,9.2,10.1,5.1,40.161
egg white delight mcdonalds,250,0.0,16.0,0.0,16.0
french toast sticks burger king,73,1.3,3.7,8.7,25.5
mcchicken mcdonalds,358,13.7,17.3,36.6,69.5
nachos supreme taco bell,480,14.8,26.6,45.0,241.0
crispy chicken wing kentucky fried chicken,104,12.6,5.3,1.3,32.851
chicken strips burger king,105,6.6,5.5,7.4,20.168
crispy chicken breast kentucky fried chicken,214,38.2,6.7,0.4,74.065
sausage biscuit mcdonalds,440,11.3,29.7,31.8,141.05
sausage burrito mcdonalds,339,13.0,17.1,24.2,261.627
onion rings fried,27,0.3,1.6,2.8,12.551
onion rings burger king,379,3.5,23.0,39.7,175.4
turkey patty fried,79,3.9,5.0,4.4,17.934
hotcakes with syrup mcdonalds,601,9.0,17.8,101.8,259.4
crispy chicken thigh kentucky fried chicken,163,20.4,9.1,0.0,49.591
corn dog,195,6.7,9.4,21.0,38.257
chicken box mcdonalds,70,0.2,4.0,5.5,9.7
potato wedges kentucky fried chicken,379,5.4,19.8,45.0,110.6
scrambled eggs mcdonalds,98,7.7,7.5,0.9,50.931
egg mcmuffin mcdonalds,287,17.2,12.2,27.3,58.5
nachos taco bell,362,5.1,21.9,36.0,156.0
biscuit large mcdonalds,310,5.5,14.4,39.4,132.022
crispy chicken strips kentucky fried chicken,129,9.5,7.2,6.4,35.9
hotcakes mcdonalds,113,3.0,2.9,19.0,68.2
chicken crispy breast kentucky fried chicken,375,29.7,23.2,11.9,103.428
hotcakes sausage mcdonalds,776,15.5,34.9,102.4,292.7
chicken mcnuggets mcdonalds,48,2.5,3.2,2.4,8.181
chips chipotle,151,0.2,7.1,2.1,9.4
biscuit mcdonalds,261,4.7,12.2,33.3,111.687
rice bowl with chicken,36,1.6,0.4,6.4,13.178
spaghetti with meatballs,200,8.7,8.2,22.9,45.656
meat ravioli canned,259,8.9,8.9,36.0,94.963
cheese ravioli canned,186,6.0,3.5,33.0,127.3
premium crispy chicken ranch blt sandwich mcdonalds,586,35.3,22.9,59.8,219.1
steak sandwich,459,30.3,14.1,52.0,198.9
cheeseburger burger king,380,19.4,19.7,31.5,201.6
cheeseburger mcdonalds,313,15.4,14.0,33.1,266.0
double cheeseburger,643,37.0,36.9,41.0,119.347
double hamburger,942,52.1,58.6,51.4,169.626
